time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-03-12T22:26:00.737Z,62.262,-149.7785,16,1.9,ml,,,,0.41,ak,ak0243bfy3jq,2024-03-12T22:28:28.208Z,"11 km NNE of Susitna North, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-03-12T22:20:44.610Z,17.9226666666667,-66.2848333333333,12.91,2.26,md,12,187,0.116,0.14,pr,pr71442863,2024-03-12T22:30:47.510Z,"6 km SSE of Salinas, Puerto Rico",earthquake,0.55,0.42,0.32313891301478,6,reviewed,pr,pr
2024-03-12T22:12:12.930Z,33.4885,-116.5803333,10.19,1.15,ml,41,45,0.01993,0.17,ci,ci40686288,2024-03-13T00:17:43.768Z,"11 km SE of Anza, CA",earthquake,0.16,0.32,0.216,30,reviewed,ci,ci
2024-03-12T22:06:31.460Z,33.487,-116.5868333,10.42,1.8,ml,79,21,0.01571,0.19,ci,ci40686280,2024-03-13T00:18:39.730Z,"11 km SE of Anza, CA",earthquake,0.12,0.25,0.2,26,reviewed,ci,ci
2024-03-12T22:04:52.385Z,-11.9878,-74.6203,10.418,4.6,mb,29,111,2.174,0.82,us,us6000mihq,2024-03-12T23:00:35.643Z,"29 km NE of Salcabamba, Peru",earthquake,4.27,5.448,0.141,15,reviewed,us,us
2024-03-12T21:43:19.395Z,64.9896,-147.4085,4.7,1.5,ml,,,,0.49,ak,ak0243bfgcjl,2024-03-12T21:45:28.829Z,"10 km ENE of Fox, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-03-12T21:42:21.510Z,19.181999206543,-155.468673706055,34.689998626709,2.43000007,md,43,94,0.02716,0.109999999,hv,hv74135206,2024-03-12T21:44:11.850Z,"2 km SSE of Pāhala, Hawaii",earthquake,0.53,0.680000007,0.370000005,9,automatic,hv,hv
2024-03-12T21:37:42.850Z,19.2933333333333,-155.382666666667,4.21,1.81,md,36,101,0.03995,0.13,hv,hv74135201,2024-03-13T01:58:47.580Z,"14 km NE of Pāhala, Hawaii",earthquake,0.28,1.09,0.167318558679654,17,reviewed,hv,hv
2024-03-12T21:35:23.910Z,19.2649993896484,-155.402328491211,29.8799991607666,2.23000002,md,34,123,0.06984,0.140000001,hv,hv74135196,2024-03-12T21:37:16.760Z,"10 km NE of Pāhala, Hawaii",earthquake,0.48,0.75999999,0.0199999996,4,automatic,hv,hv
2024-03-12T21:30:19.270Z,19.5428333333333,-155.960166666667,12.13,1.73,md,18,237,0.06804,0.18,hv,hv74135186,2024-03-13T02:03:54.870Z,"2 km W of Honalo, Hawaii",earthquake,0.93,0.46,0.152743052706272,22,reviewed,hv,hv
2024-03-12T21:23:49.950Z,38.8264999,-122.7896652,1.65,1.3,md,18,43,0.01497,0.05,nc,nc74016456,2024-03-12T21:25:25.124Z,"6 km W of Cobb, CA",earthquake,0.26,0.58,0.25,20,automatic,nc,nc
2024-03-12T21:19:51.835Z,-16.5219,-74.3429,10,4.3,mb,17,146,4.238,0.83,us,us6000miht,2024-03-13T04:31:29.462Z,"80 km S of Atiquipa, Peru",earthquake,10.79,1.941,0.154,12,reviewed,us,us
2024-03-12T21:08:55.710Z,38.8413315,-122.8393326,1.99,0.75,md,10,88,0.004064,0.01,nc,nc74016451,2024-03-12T21:10:30.974Z,"10 km NW of The Geysers, CA",earthquake,0.35,0.73,0.09,12,automatic,nc,nc
2024-03-12T21:00:15.016Z,62.8424,-150.879,81.4,1.9,ml,,,,0.52,ak,ak0243bf74f1,2024-03-12T21:02:02.385Z,"39 km N of Petersville, Alaska",earthquake,,0.8,,,automatic,ak,ak
2024-03-12T20:56:50.670Z,51.527,-175.0937,35,4.8,mb,71,131,0.826,0.93,us,us6000miha,2024-03-12T23:21:44.170Z,"96 km SW of Atka, Alaska",earthquake,2,1.9,0.042,177,reviewed,us,us
2024-03-12T20:52:01.570Z,17.9758333333333,-66.8348333333333,16.05,2.16,md,13,162,0.04229,0.17,pr,pr71442858,2024-03-12T21:12:37.820Z,"2 km SW of Indios, Puerto Rico",earthquake,0.49,0.71,0.0558035859260526,5,reviewed,pr,pr
2024-03-12T20:39:22.500Z,38.8216667,-122.7993317,1.88,0.71,md,12,51,0.008567,0.02,nc,nc74016441,2024-03-12T20:40:54.688Z,"6 km NW of The Geysers, CA",earthquake,0.34,0.66,0.14,17,automatic,nc,nc
2024-03-12T20:32:36.150Z,32.775,-116.8945,-0.35,1.5,ml,22,78,0.05633,0.28,ci,ci40686240,2024-03-13T01:17:08.430Z,"5 km NE of Rancho San Diego, CA",quarry blast,0.51,31.61,0.103,15,reviewed,ci,ci
2024-03-12T20:31:35.400Z,38.8168335,-122.7958298,2.49,1.09,md,20,65,0.008862,0.06,nc,nc74016436,2024-03-12T20:33:10.672Z,"6 km NW of The Geysers, CA",earthquake,0.32,0.59,0.06,20,automatic,nc,nc
2024-03-12T20:18:38.210Z,38.8151665,-122.8343353,0.87,0.75,md,9,122,0.007469,0.04,nc,nc74016426,2024-03-12T20:20:15.495Z,"8 km WNW of The Geysers, CA",earthquake,0.36,0.78,0.3,9,automatic,nc,nc
2024-03-12T20:07:21.160Z,45.1843333333333,-112.437333333333,-2,1.26,ml,7,129,0.2106,0.11,mb,mb90043048,2024-03-12T22:02:16.480Z,"16 km ESE of Dillon, Montana",quarry blast,0.65,31.61,0.207452339514729,10,reviewed,mb,mb
2024-03-12T20:06:39.940Z,36.9761658,-121.4110031,10.42,1.06,md,10,143,0.07666,0.1,nc,nc74016416,2024-03-12T20:08:15.411Z,"14 km ESE of Gilroy, CA",earthquake,0.56,2.37,0.04,7,automatic,nc,nc
2024-03-12T19:48:49.680Z,38.8236656,-122.8014984,2.99,0.92,md,9,120,0.006704,0.01,nc,nc74016411,2024-03-12T19:50:25.193Z,"6 km NW of The Geysers, CA",earthquake,0.49,2.08,0.21,9,automatic,nc,nc
2024-03-12T19:38:20.730Z,45.9178333333333,-111.464833333333,-2,1.4,ml,6,163,0.2924,0.06,mb,mb90043038,2024-03-12T21:46:22.320Z,"4 km NW of Logan, Montana",quarry blast,0.45,31.61,0.19785393636572,9,reviewed,mb,mb
2024-03-12T19:37:37.680Z,34.2813333,-118.621,-0.52,1.46,ml,7,135,0.05097,0.2,ci,ci40686216,2024-03-12T20:07:49.715Z,"3 km NNW of Chatsworth, CA",quarry blast,0.7,31.61,0.153,36,reviewed,ci,ci
2024-03-12T19:37:16.429Z,31.693,-103.77,43.1934,1.3,ml,6,184,0.2,0.1,tx,tx2024fbfo,2024-03-13T00:10:01.417Z,"16 km W of Mentone, Texas",earthquake,51.86521413292063,17.29960860973749,0.2,6,reviewed,tx,tx
2024-03-12T19:32:05.868Z,65.533,-148.1401,8.2,1.6,ml,,,,0.6,ak,ak0243be73ey,2024-03-12T19:51:39.268Z,"18 km E of Livengood, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-03-12T19:24:36.880Z,34.3501667,-117.6315,9.42,1.2,ml,22,63,0.1133,0.16,ci,ci40686200,2024-03-12T19:58:19.223Z,"1 km S of Wrightwood, CA",earthquake,0.25,0.61,0.226,14,reviewed,ci,ci
2024-03-12T19:21:52.000Z,45.3275,-112.600333333333,8.66,1.04,ml,6,144,0.03511,0.02,mb,mb90043033,2024-03-12T21:36:09.760Z,"12 km NNE of Dillon, Montana",earthquake,0.42,0.4,0.308459692322466,8,reviewed,mb,mb
2024-03-12T19:19:12.560Z,38.8375015,-122.819664,2.98,0.56,md,10,156,0.0124,0.02,nc,nc74016401,2024-03-12T19:20:44.931Z,"8 km WNW of Cobb, CA",earthquake,0.5,1.16,0.21,10,automatic,nc,nc
2024-03-12T19:14:19.151Z,58.7982,-136.4539,4.2,1.9,ml,,,,0.53,ak,ak0243be39jv,2024-03-12T19:16:32.188Z,"59 km NW of Gustavus, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-03-12T18:58:54.430Z,38.8226662,-122.7816696,1.68,1.34,md,16,91,0.009425,0.06,nc,nc74016396,2024-03-12T19:00:30.812Z,"5 km W of Cobb, CA",earthquake,0.29,0.43,0.19,17,automatic,nc,nc
2024-03-12T18:53:21.626Z,63.2286,-144.8879,30,1.8,ml,,,,1.2,ak,ak0243bdq72a,2024-03-12T18:55:02.083Z,"39 km ENE of Paxson, Alaska",earthquake,,0.3,,,automatic,ak,ak
2024-03-12T18:49:45.140Z,34.9945,-118.1976667,-0.93,1.8,mh,11,61,0.1182,0.21,ci,ci40686184,2024-03-12T20:03:15.686Z,"7 km SSW of Mojave, CA",quarry blast,0.59,31.61,,0,reviewed,ci,ci
2024-03-12T18:40:07.240Z,17.954,-66.8395,12.69,1.81,md,4,211,0.04325,0.06,pr,pr71442833,2024-03-12T18:54:52.170Z,"4 km SSW of Indios, Puerto Rico",earthquake,2.08,0.69,0.0441038366228113,3,reviewed,pr,pr
2024-03-12T18:24:50.900Z,40.7065,-111.589833333333,3.15,0.29,md,9,97,0.1216,0.09,uu,uu80062576,2024-03-12T19:06:22.570Z,"4 km WNW of Snyderville, Utah",earthquake,0.35,3.62,0.20031802932794,4,reviewed,uu,uu
2024-03-12T18:03:01.030Z,19.341,-155.428833333333,9.31,1.27,md,19,87,0.04091,0.09,hv,hv74134936,2024-03-13T02:13:20.560Z,"16 km NNE of Pāhala, Hawaii",earthquake,0.35,0.63,0.192056402635483,18,reviewed,hv,hv
2024-03-12T17:58:25.950Z,44.369,-116.129166666667,6.58,2.23,ml,10,91,0.3495,0.09,mb,mb90043043,2024-03-12T21:52:33.940Z,"8 km NNW of Smiths Ferry, Idaho",earthquake,0.31,2.56,0.224453949025374,9,reviewed,mb,mb
2024-03-12T17:46:28.160Z,38.8370018,-122.7946701,1.67,0.44,md,7,114,0.003659,0.01,nc,nc74016381,2024-03-12T17:48:06.006Z,"6 km WNW of Cobb, CA",earthquake,0.49,1.6,0.26,7,automatic,nc,nc
2024-03-12T17:45:40.680Z,38.8310013,-122.848999,1.89,0.78,md,20,68,0.007052,0.01,nc,nc74016376,2024-03-12T17:47:16.051Z,"10 km NW of The Geysers, CA",earthquake,0.21,0.39,0.14,20,automatic,nc,nc
2024-03-12T17:39:16.079Z,39.7169,-119.8576,10.2,1.1,ml,10,79.99,0.136,0.1444,nn,nn00874669,2024-03-13T02:58:18.673Z,"9 km N of Lemmon Valley, Nevada",earthquake,,1.9,0.34,6,reviewed,nn,nn
2024-03-12T17:33:30.500Z,19.1468333333333,-155.371833333333,29.04,3.14,ml,43,182,0.08577,0.12,hv,hv74134911,2024-03-12T22:16:49.915Z,"12 km ESE of Pāhala, Hawaii",earthquake,0.47,0.63,0.155655346942262,30,reviewed,hv,hv
2024-03-12T17:31:36.940Z,35.7818333,-117.59,6.98,0.77,ml,14,84,0.1447,0.09,ci,ci40686144,2024-03-12T18:17:06.089Z,"17 km W of Searles Valley, CA",earthquake,0.29,0.58,0.164,7,reviewed,ci,ci
2024-03-12T17:27:21.440Z,19.3363333333333,-155.202666666667,6.57,1.44,md,15,101,0.03918,0.09,hv,hv74134906,2024-03-13T02:19:06.340Z,"12 km SSE of Volcano, Hawaii",earthquake,0.37,0.88,0.143708277293461,15,reviewed,hv,hv
2024-03-12T17:17:34.665Z,39.723,-119.8592,10.8,0.9,ml,8,85.04,0.14,0.0552,nn,nn00874668,2024-03-13T02:55:11.818Z,"9 km N of Lemmon Valley, Nevada",earthquake,,2.3,0.55,4,reviewed,nn,nn
2024-03-12T17:07:55.080Z,38.8118324,-122.8216629,2.02,1.05,md,16,57,0.006575,0.03,nc,nc74016351,2024-03-12T17:09:31.015Z,"7 km NW of The Geysers, CA",earthquake,0.22,0.43,0.29,18,automatic,nc,nc
2024-03-12T16:53:20.970Z,19.3898334503174,-155.274505615234,0.709999978542328,1.72000003,md,14,56,0.005565,0.119999997,hv,hv74134896,2024-03-12T16:55:59.610Z,"7 km SW of Volcano, Hawaii",earthquake,0.24,0.219999999,0.409999996,13,automatic,hv,hv
2024-03-12T16:51:48.174Z,61.5819,-149.7554,37.9,1.7,ml,,,,0.36,ak,ak0243bciygx,2024-03-12T16:53:49.085Z,"6 km SSE of Houston, Alaska",earthquake,,2.5,,,automatic,ak,ak
2024-03-12T16:50:42.434Z,44.3668,-116.1308,13.169,3.8,ml,54,42,0.347,0.67,us,us7000m4v4,2024-03-12T22:54:27.239Z,"7 km NNW of Smiths Ferry, Idaho",earthquake,2.36,10.053,0.025,204,reviewed,us,us
2024-03-12T16:38:38.532Z,64.4624,-146.9468,4.2,1.5,ml,,,,0.85,ak,ak0243bcg5f1,2024-03-12T16:40:32.445Z,"7 km SSW of Salcha, Alaska",earthquake,,0.5,,,automatic,ak,ak
2024-03-12T16:30:15.542Z,36.3941,-115.9248,10,1.1,ml,17,288.03,0.27,0.1114,nn,nn00874621,2024-03-12T19:10:33.205Z,"21 km NNE of Pahrump, Nevada",earthquake,,5.7,0.21,7,reviewed,nn,nn
2024-03-12T16:17:29.546Z,57.9394,-155.4962,14.1,1.6,ml,,,,0.32,ak,ak0243bcbmoq,2024-03-12T16:19:25.098Z,"74 km WNW of Karluk, Alaska",earthquake,,0.6,,,automatic,ak,ak
2024-03-12T16:11:48.450Z,36.0075,-117.7943333,1.38,1.01,ml,22,55,0.02759,0.13,ci,ci40686080,2024-03-12T18:14:19.783Z,"13 km NE of Little Lake, CA",earthquake,0.14,0.16,0.134,10,reviewed,ci,ci
2024-03-12T16:10:42.759Z,58.5993,-152.8327,48.9,2.3,ml,,,,0.32,ak,ak0243bca5oz,2024-03-12T16:12:54.779Z,"60 km N of Aleneva, Alaska",earthquake,,0.7,,,automatic,ak,ak
2024-03-12T16:00:19.850Z,36.009,-117.7958333,1.29,0.85,ml,22,55,0.02848,0.15,ci,ci40686056,2024-03-12T18:08:38.064Z,"13 km NE of Little Lake, CA",earthquake,0.19,0.21,0.1,8,reviewed,ci,ci
2024-03-12T15:58:01.510Z,38.802166,-122.802002,1.94,0.9,md,10,81,0.007808,0.02,nc,nc74016341,2024-03-12T15:59:34.272Z,"5 km NW of The Geysers, CA",earthquake,0.29,0.94,0.19,12,automatic,nc,nc
2024-03-12T15:49:34.130Z,38.7938347,-122.8036652,3.23,0.51,md,16,60,0.00552,0.06,nc,nc74016336,2024-03-12T15:51:10.188Z,"4 km WNW of The Geysers, CA",earthquake,0.33,0.77,0.35,18,automatic,nc,nc
